t,theta1,theta2,omega1,omega2,KE1,KE2,PE1,PE2,TotalE
0.202,-1.423062431,-2.128786399,1.876503414,0.253782505,1.760632532,2.155309292,8.365996521,23.37021694,35.65215529
0.203,-1.421181956,-2.12853033,1.884442042,0.258362661,1.775560905,2.17899999,8.347752577,23.34984182,35.65215529
0.204,-1.419293553,-2.128269657,1.892361153,0.262991178,1.790515366,2.202846709,8.329436911,23.3293563,35.65215529
0.205,-1.417397241,-2.128004331,1.900260665,0.267668245,1.805495298,2.226849849,8.311049847,23.3087603,35.65215529
0.206,-1.415493038,-2.127734304,1.908140498,0.272394046,1.82050008,2.251009808,8.292591706,23.2880537,35.65215529
0.207,-1.413580966,-2.127459527,1.91600057,0.277168765,1.835529091,2.27532698,8.274062815,23.2672364,35.65215529
0.208,-1.411661044,-2.12717995,1.923840798,0.281992587,1.850581708,2.29980176,8.255463502,23.24630832,35.65215529
0.209,-1.409733291,-2.126895525,1.931661102,0.286865692,1.865657307,2.324434541,8.236794099,23.22526934,35.65215529
0.21,-1.407797728,-2.126606203,1.939461401,0.291788261,1.880755263,2.349225713,8.218054938,23.20411938,35.65215529
0.211,-1.405854375,-2.126311932,1.947241612,0.296760472,1.895874948,2.374175668,8.199246356,23.18285832,35.65215529
0.212,-1.403903252,-2.126012665,1.955001655,0.301782502,1.911015735,2.399284792,8.180368692,23.16148607,35.65215529
0.213,-1.401944379,-2.125708351,1.962741447,0.306854529,1.926176994,2.424553473,8.161422285,23.14000254,35.65215529
0.214,-1.399977776,-2.125398939,1.970460907,0.311976725,1.941358093,2.449982095,8.142407481,23.11840762,35.65215529
0.215,-1.398003464,-2.12508438,1.978159954,0.317149265,1.956558401,2.475571044,8.123324624,23.09670122,35.65215529
0.216,-1.396021463,-2.124764624,1.985838505,0.322372318,1.971777283,2.501320701,8.104174064,23.07488324,35.65215529
0.217,-1.394031793,-2.124439619,1.993496478,0.327646057,1.987014104,2.527231447,8.084956151,23.05295359,35.65215529
0.218,-1.392034477,-2.124109315,2.001133792,0.332970648,2.002268227,2.553303661,8.065671239,23.03091216,35.65215529
0.219,-1.390029533,-2.123773661,2.008750365,0.33834626,2.017539014,2.579537721,8.046319684,23.00875887,35.65215529
0.22,-1.388016983,-2.123432605,2.016346113,0.343773057,2.032825824,2.605934005,8.026901846,22.98649361,35.65215529
0.221,-1.385996848,-2.123086097,2.023920956,0.349251204,2.048128017,2.632492887,8.007418085,22.9641163,35.65215529
0.222,-1.383969148,-2.122734086,2.031474809,0.354780863,2.06344495,2.65921474,7.987868765,22.94162684,35.65215529
